artists,disc_number,duration_ms,explicit,href,id,is_local,is_playable,name,popularity,preview_url,track_number,type,uri,album.album_type,album.artists,album.external_urls.spotify,album.href,album.id,album.images,album.is_playable,album.name,album.release_date,album.release_date_precision,album.total_tracks,album.type,album.uri,external_ids.isrc,external_urls.spotify,linked_from.external_urls.spotify,linked_from.href,linked_from.id,linked_from.type,linked_from.uri
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2gRP1Ezbtj3qrERnd0XasU'}, 'href': 'https://api.spotify.com/v1/artists/2gRP1Ezbtj3qrERnd0XasU', 'id': '2gRP1Ezbtj3qrERnd0XasU', 'name': 'Camila', 'type': 'artist', 'uri': 'spotify:artist:2gRP1Ezbtj3qrERnd0XasU'}]",1,280333,False,https://api.spotify.com/v1/tracks/1hCswNajdTPRtuggsGtpCX,1hCswNajdTPRtuggsGtpCX,False,True,De Mí,59,https://p.scdn.co/mp3-preview/f69e6ed3e06cc198e74809169607b46c66197d77?cid=bf0a7a4e7fba44c3844ebceae6d06eed,11,track,spotify:track:1hCswNajdTPRtuggsGtpCX,ALBUM,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2gRP1Ezbtj3qrERnd0XasU'}, 'href': 'https://api.spotify.com/v1/artists/2gRP1Ezbtj3qrERnd0XasU', 'id': '2gRP1Ezbtj3qrERnd0XasU', 'name': 'Camila', 'type': 'artist', 'uri': 'spotify:artist:2gRP1Ezbtj3qrERnd0XasU'}]",https://open.spotify.com/album/0MPMiyavAbARflBlNGjIA6,https://api.spotify.com/v1/albums/0MPMiyavAbARflBlNGjIA6,0MPMiyavAbARflBlNGjIA6,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d46baecb11453061ea9fa795', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02d46baecb11453061ea9fa795', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851d46baecb11453061ea9fa795', 'width': 64}]",True,Dejarte De Amar,2010-02-09,day,11,album,spotify:album:0MPMiyavAbARflBlNGjIA6,MXF010901155,https://open.spotify.com/track/1hCswNajdTPRtuggsGtpCX,,,,,
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3nlpTZci9O5W8RsNoNH559'}, 'href': 'https://api.spotify.com/v1/artists/3nlpTZci9O5W8RsNoNH559', 'id': '3nlpTZci9O5W8RsNoNH559', 'name': 'Juan Luis Guerra 4.40', 'type': 'artist', 'uri': 'spotify:artist:3nlpTZci9O5W8RsNoNH559'}]",1,195653,False,https://api.spotify.com/v1/tracks/1oInQX1RuH1TcHuDv8Gvw3,1oInQX1RuH1TcHuDv8Gvw3,False,True,Las Avispas,58,,3,track,spotify:track:1oInQX1RuH1TcHuDv8Gvw3,ALBUM,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3nlpTZci9O5W8RsNoNH559'}, 'href': 'https://api.spotify.com/v1/artists/3nlpTZci9O5W8RsNoNH559', 'id': '3nlpTZci9O5W8RsNoNH559', 'name': 'Juan Luis Guerra 4.40', 'type': 'artist', 'uri': 'spotify:artist:3nlpTZci9O5W8RsNoNH559'}]",https://open.spotify.com/album/4u3f2d7j7SUlPh5dGaJf1v,https://api.spotify.com/v1/albums/4u3f2d7j7SUlPh5dGaJf1v,4u3f2d7j7SUlPh5dGaJf1v,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d83eb5595a958fe30a4fb018', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02d83eb5595a958fe30a4fb018', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851d83eb5595a958fe30a4fb018', 'width': 64}]",True,Coleccion Cristiana,2012-02-24,day,11,album,spotify:album:4u3f2d7j7SUlPh5dGaJf1v,USEL11100043,https://open.spotify.com/track/1oInQX1RuH1TcHuDv8Gvw3,,,,,
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1MLs9allBZrajb5Dc4146L'}, 'href': 'https://api.spotify.com/v1/artists/1MLs9allBZrajb5Dc4146L', 'id': '1MLs9allBZrajb5Dc4146L', 'name': '3BallMTY', 'type': 'artist', 'uri': 'spotify:artist:1MLs9allBZrajb5Dc4146L'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6iK7hlQHfupGjQHrxQIMly'}, 'href': 'https://api.spotify.com/v1/artists/6iK7hlQHfupGjQHrxQIMly', 'id': '6iK7hlQHfupGjQHrxQIMly', 'name': 'América Sierra', 'type': 'artist', 'uri': 'spotify:artist:6iK7hlQHfupGjQHrxQIMly'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1P184E1yqU3hzj71d1oOzb'}, 'href': 'https://api.spotify.com/v1/artists/1P184E1yqU3hzj71d1oOzb', 'id': '1P184E1yqU3hzj71d1oOzb', 'name': 'Smoky', 'type': 'artist', 'uri': 'spotify:artist:1P184E1yqU3hzj71d1oOzb'}]",1,229240,False,https://api.spotify.com/v1/tracks/44Tu2rpOsIlu69qrRZaahl,44Tu2rpOsIlu69qrRZaahl,False,True,Beso Al Aire (feat. América Sierra & Smoky),59,https://p.scdn.co/mp3-preview/c959663de948a450c650519ba213dbb7ab68c320?cid=bf0a7a4e7fba44c3844ebceae6d06eed,11,track,spotify:track:44Tu2rpOsIlu69qrRZaahl,ALBUM,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1MLs9allBZrajb5Dc4146L'}, 'href': 'https://api.spotify.com/v1/artists/1MLs9allBZrajb5Dc4146L', 'id': '1MLs9allBZrajb5Dc4146L', 'name': '3BallMTY', 'type': 'artist', 'uri': 'spotify:artist:1MLs9allBZrajb5Dc4146L'}]",https://open.spotify.com/album/2QGWI5XAUxXEXBfc2QHxbl,https://api.spotify.com/v1/albums/2QGWI5XAUxXEXBfc2QHxbl,2QGWI5XAUxXEXBfc2QHxbl,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273eaca0d400a60c66d2cb71084', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02eaca0d400a60c66d2cb71084', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851eaca0d400a60c66d2cb71084', 'width': 64}]",True,Inténtalo,2011-01-01,day,13,album,spotify:album:2QGWI5XAUxXEXBfc2QHxbl,QM6DC1996597,https://open.spotify.com/track/44Tu2rpOsIlu69qrRZaahl,https://open.spotify.com/track/1nWbGHQLVzrbPi2bjz3KRE,https://api.spotify.com/v1/tracks/1nWbGHQLVzrbPi2bjz3KRE,1nWbGHQLVzrbPi2bjz3KRE,track,spotify:track:1nWbGHQLVzrbPi2bjz3KRE
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4VMYDCV2IEDYJArk749S6m'}, 'href': 'https://api.spotify.com/v1/artists/4VMYDCV2IEDYJArk749S6m', 'id': '4VMYDCV2IEDYJArk749S6m', 'name': 'Daddy Yankee', 'type': 'artist', 'uri': 'spotify:artist:4VMYDCV2IEDYJArk749S6m'}]",1,217226,False,https://api.spotify.com/v1/tracks/7MmVXDISr1AEsJTjNiAlMG,7MmVXDISr1AEsJTjNiAlMG,False,True,Pose,72,https://p.scdn.co/mp3-preview/e66e04d027955048deb8f8d3cb13fcd5c6fa569e?cid=bf0a7a4e7fba44c3844ebceae6d06eed,4,track,spotify:track:7MmVXDISr1AEsJTjNiAlMG,ALBUM,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4VMYDCV2IEDYJArk749S6m'}, 'href': 'https://api.spotify.com/v1/artists/4VMYDCV2IEDYJArk749S6m', 'id': '4VMYDCV2IEDYJArk749S6m', 'name': 'Daddy Yankee', 'type': 'artist', 'uri': 'spotify:artist:4VMYDCV2IEDYJArk749S6m'}]",https://open.spotify.com/album/4a6GNGZYh5zyDoVrQCe82Y,https://api.spotify.com/v1/albums/4a6GNGZYh5zyDoVrQCe82Y,4a6GNGZYh5zyDoVrQCe82Y,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273de78a4bc99ecde0c35468c28', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02de78a4bc99ecde0c35468c28', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851de78a4bc99ecde0c35468c28', 'width': 64}]",True,Talento De Barrio,2008-08-12,day,15,album,spotify:album:4a6GNGZYh5zyDoVrQCe82Y,QM7281713563,https://open.spotify.com/track/7MmVXDISr1AEsJTjNiAlMG,https://open.spotify.com/track/5STjKh5m3SML3y9do5gp5t,https://api.spotify.com/v1/tracks/5STjKh5m3SML3y9do5gp5t,5STjKh5m3SML3y9do5gp5t,track,spotify:track:5STjKh5m3SML3y9do5gp5t
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6IE6z7DcZIT4Ml3Fh5Ivch'}, 'href': 'https://api.spotify.com/v1/artists/6IE6z7DcZIT4Ml3Fh5Ivch', 'id': '6IE6z7DcZIT4Ml3Fh5Ivch', 'name': 'Selena', 'type': 'artist', 'uri': 'spotify:artist:6IE6z7DcZIT4Ml3Fh5Ivch'}]",1,196826,False,https://api.spotify.com/v1/tracks/0ob3zPIGXWwg2hyXJNs3Ct,0ob3zPIGXWwg2hyXJNs3Ct,False,True,La Carcacha,62,,3,track,spotify:track:0ob3zPIGXWwg2hyXJNs3Ct,COMPILATION,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6IE6z7DcZIT4Ml3Fh5Ivch'}, 'href': 'https://api.spotify.com/v1/artists/6IE6z7DcZIT4Ml3Fh5Ivch', 'id': '6IE6z7DcZIT4Ml3Fh5Ivch', 'name': 'Selena', 'type': 'artist', 'uri': 'spotify:artist:6IE6z7DcZIT4Ml3Fh5Ivch'}]",https://open.spotify.com/album/058VOHYTS6kFauVUl6Eh03,https://api.spotify.com/v1/albums/058VOHYTS6kFauVUl6Eh03,058VOHYTS6kFauVUl6Eh03,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273673648f5fb3d29a82733479b', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02673648f5fb3d29a82733479b', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851673648f5fb3d29a82733479b', 'width': 64}]",True,La Leyenda (Version Super Deluxe),2010-01-01,day,82,album,spotify:album:058VOHYTS6kFauVUl6Eh03,USEL19200542,https://open.spotify.com/track/0ob3zPIGXWwg2hyXJNs3Ct,,,,,
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6IdtcAwaNVAggwd6sCKgTI'}, 'href': 'https://api.spotify.com/v1/artists/6IdtcAwaNVAggwd6sCKgTI', 'id': '6IdtcAwaNVAggwd6sCKgTI', 'name': 'Zoé', 'type': 'artist', 'uri': 'spotify:artist:6IdtcAwaNVAggwd6sCKgTI'}]",1,243040,False,https://api.spotify.com/v1/tracks/1nULBrlzWatdcjA2ZctIMv,1nULBrlzWatdcjA2ZctIMv,False,True,Labios Rotos - En Vivo Desde México / 2010,77,,5,track,spotify:track:1nULBrlzWatdcjA2ZctIMv,ALBUM,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6IdtcAwaNVAggwd6sCKgTI'}, 'href': 'https://api.spotify.com/v1/artists/6IdtcAwaNVAggwd6sCKgTI', 'id': '6IdtcAwaNVAggwd6sCKgTI', 'name': 'Zoé', 'type': 'artist', 'uri': 'spotify:artist:6IdtcAwaNVAggwd6sCKgTI'}]",https://open.spotify.com/album/7HvlcB4kC6QivGpN7ABaVP,https://api.spotify.com/v1/albums/7HvlcB4kC6QivGpN7ABaVP,7HvlcB4kC6QivGpN7ABaVP,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e245d1799a4525605b87de45', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e245d1799a4525605b87de45', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e245d1799a4525605b87de45', 'width': 64}]",True,MTV Unplugged Música De Fondo (Standard Version),2011-03-22,day,14,album,spotify:album:7HvlcB4kC6QivGpN7ABaVP,MXF061100006,https://open.spotify.com/track/1nULBrlzWatdcjA2ZctIMv,https://open.spotify.com/track/2DWzn0kVcV9iKkiiee4rRE,https://api.spotify.com/v1/tracks/2DWzn0kVcV9iKkiiee4rRE,2DWzn0kVcV9iKkiiee4rRE,track,spotify:track:2DWzn0kVcV9iKkiiee4rRE
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/74cb3MG0x0BOnYNW1uXYnM'}, 'href': 'https://api.spotify.com/v1/artists/74cb3MG0x0BOnYNW1uXYnM', 'id': '74cb3MG0x0BOnYNW1uXYnM', 'name': 'Hillsong UNITED', 'type': 'artist', 'uri': 'spotify:artist:74cb3MG0x0BOnYNW1uXYnM'}]",1,322133,False,https://api.spotify.com/v1/tracks/6v1dPoWRxbnnv0L7VQtoLL,6v1dPoWRxbnnv0L7VQtoLL,False,True,Me Viniste A Rescatar,50,https://p.scdn.co/mp3-preview/c9c6f4f0a05a04fccdcba33ade86b5bdd0289c88?cid=bf0a7a4e7fba44c3844ebceae6d06eed,6,track,spotify:track:6v1dPoWRxbnnv0L7VQtoLL,ALBUM,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/74cb3MG0x0BOnYNW1uXYnM'}, 'href': 'https://api.spotify.com/v1/artists/74cb3MG0x0BOnYNW1uXYnM', 'id': '74cb3MG0x0BOnYNW1uXYnM', 'name': 'Hillsong UNITED', 'type': 'artist', 'uri': 'spotify:artist:74cb3MG0x0BOnYNW1uXYnM'}]",https://open.spotify.com/album/6L9KwXjzjFaM1PhQMvYYmm,https://api.spotify.com/v1/albums/6L9KwXjzjFaM1PhQMvYYmm,6L9KwXjzjFaM1PhQMvYYmm,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b75c82879f4732352bb05ddb', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02b75c82879f4732352bb05ddb', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851b75c82879f4732352bb05ddb', 'width': 64}]",True,Unidos Permanecemos (Live),2006-05-01,day,17,album,spotify:album:6L9KwXjzjFaM1PhQMvYYmm,AUHS00602410,https://open.spotify.com/track/6v1dPoWRxbnnv0L7VQtoLL,https://open.spotify.com/track/3teGMGEZJBDTebnxxvq5vv,https://api.spotify.com/v1/tracks/3teGMGEZJBDTebnxxvq5vv,3teGMGEZJBDTebnxxvq5vv,track,spotify:track:3teGMGEZJBDTebnxxvq5vv
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6BMQo3hxi4qwLiZpHKK5iL'}, 'href': 'https://api.spotify.com/v1/artists/6BMQo3hxi4qwLiZpHKK5iL', 'id': '6BMQo3hxi4qwLiZpHKK5iL', 'name': 'A.B. Quintanilla III Y Los Kumbia Kings', 'type': 'artist', 'uri': 'spotify:artist:6BMQo3hxi4qwLiZpHKK5iL'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4VRHPqW54KVxJAhUWNKjNF'}, 'href': 'https://api.spotify.com/v1/artists/4VRHPqW54KVxJAhUWNKjNF', 'id': '4VRHPqW54KVxJAhUWNKjNF', 'name': 'Fito Olivares', 'type': 'artist', 'uri': 'spotify:artist:4VRHPqW54KVxJAhUWNKjNF'}]",1,210120,False,https://api.spotify.com/v1/tracks/71hlW24Et0ZIHjp6pI7SXU,71hlW24Et0ZIHjp6pI7SXU,False,True,Azúcar,48,,10,track,spotify:track:71hlW24Et0ZIHjp6pI7SXU,COMPILATION,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5MP9bH9aUryiKQeUvABLIU'}, 'href': 'https://api.spotify.com/v1/artists/5MP9bH9aUryiKQeUvABLIU', 'id': '5MP9bH9aUryiKQeUvABLIU', 'name': 'A.B. Quintanilla III', 'type': 'artist', 'uri': 'spotify:artist:5MP9bH9aUryiKQeUvABLIU'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3jO5UGHrEzfd5YIamfs7Ir'}, 'href': 'https://api.spotify.com/v1/artists/3jO5UGHrEzfd5YIamfs7Ir', 'id': '3jO5UGHrEzfd5YIamfs7Ir', 'name': 'Kumbia Kings', 'type': 'artist', 'uri': 'spotify:artist:3jO5UGHrEzfd5YIamfs7Ir'}]",https://open.spotify.com/album/1RGWEZOK9E2fH75E6D3cqZ,https://api.spotify.com/v1/albums/1RGWEZOK9E2fH75E6D3cqZ,1RGWEZOK9E2fH75E6D3cqZ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273705081b3e764847f6e600a58', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02705081b3e764847f6e600a58', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851705081b3e764847f6e600a58', 'width': 64}]",True,"A.B. Quintanilla III Presents Kumbia Kings Greatest Hits ""Album Versions""",2007-01-01,day,12,album,spotify:album:1RGWEZOK9E2fH75E6D3cqZ,USEL19900113,https://open.spotify.com/track/71hlW24Et0ZIHjp6pI7SXU,,,,,
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4J13m9IZh03PEhoxAxRhXO'}, 'href': 'https://api.spotify.com/v1/artists/4J13m9IZh03PEhoxAxRhXO', 'id': '4J13m9IZh03PEhoxAxRhXO', 'name': 'Gerardo Ortiz', 'type': 'artist', 'uri': 'spotify:artist:4J13m9IZh03PEhoxAxRhXO'}]",1,181986,False,https://api.spotify.com/v1/tracks/4DylHCW46VE8AmQiW1EjUZ,4DylHCW46VE8AmQiW1EjUZ,False,True,Amor Confuso,65,https://p.scdn.co/mp3-preview/404cabde5bd62a9d8cf44e1052257503f134ed85?cid=bf0a7a4e7fba44c3844ebceae6d06eed,9,track,spotify:track:4DylHCW46VE8AmQiW1EjUZ,ALBUM,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4J13m9IZh03PEhoxAxRhXO'}, 'href': 'https://api.spotify.com/v1/artists/4J13m9IZh03PEhoxAxRhXO', 'id': '4J13m9IZh03PEhoxAxRhXO', 'name': 'Gerardo Ortiz', 'type': 'artist', 'uri': 'spotify:artist:4J13m9IZh03PEhoxAxRhXO'}]",https://open.spotify.com/album/6QjeY59SrJAOonlj6f0mDl,https://api.spotify.com/v1/albums/6QjeY59SrJAOonlj6f0mDl,6QjeY59SrJAOonlj6f0mDl,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27370623382ae4649f761bc013d', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0270623382ae4649f761bc013d', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485170623382ae4649f761bc013d', 'width': 64}]",True,Entre Dios Y El Diablo,2011-09-05,day,12,album,spotify:album:6QjeY59SrJAOonlj6f0mDl,USE7D1100124,https://open.spotify.com/track/4DylHCW46VE8AmQiW1EjUZ,https://open.spotify.com/track/4k7HAiBXFCquuN9hYxaeJr,https://api.spotify.com/v1/tracks/4k7HAiBXFCquuN9hYxaeJr,4k7HAiBXFCquuN9hYxaeJr,track,spotify:track:4k7HAiBXFCquuN9hYxaeJr
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5BMgsAFg8rZQc3tqs5BB8G'}, 'href': 'https://api.spotify.com/v1/artists/5BMgsAFg8rZQc3tqs5BB8G', 'id': '5BMgsAFg8rZQc3tqs5BB8G', 'name': 'Mecano', 'type': 'artist', 'uri': 'spotify:artist:5BMgsAFg8rZQc3tqs5BB8G'}]",1,259146,False,https://api.spotify.com/v1/tracks/7g3g2sqevicvurLTZ75JTA,7g3g2sqevicvurLTZ75JTA,False,True,Hijo de la Luna,68,https://p.scdn.co/mp3-preview/8ed0b1a8ff12378ebc4a0b93fb783cdcfbd80ca6?cid=bf0a7a4e7fba44c3844ebceae6d06eed,3,track,spotify:track:7g3g2sqevicvurLTZ75JTA,COMPILATION,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5BMgsAFg8rZQc3tqs5BB8G'}, 'href': 'https://api.spotify.com/v1/artists/5BMgsAFg8rZQc3tqs5BB8G', 'id': '5BMgsAFg8rZQc3tqs5BB8G', 'name': 'Mecano', 'type': 'artist', 'uri': 'spotify:artist:5BMgsAFg8rZQc3tqs5BB8G'}]",https://open.spotify.com/album/5IL38XjAFliyeLvngPqB83,https://api.spotify.com/v1/albums/5IL38XjAFliyeLvngPqB83,5IL38XjAFliyeLvngPqB83,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a10f5f16b750ec7435d01aa8', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02a10f5f16b750ec7435d01aa8', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851a10f5f16b750ec7435d01aa8', 'width': 64}]",True,"Ana, Jose, Nacho (TF1 Co-Production)",1998-03-30,day,30,album,spotify:album:5IL38XjAFliyeLvngPqB83,ES5028600049,https://open.spotify.com/track/7g3g2sqevicvurLTZ75JTA,https://open.spotify.com/track/1HnAG3hNXZzxvzVyw1U8Yy,https://api.spotify.com/v1/tracks/1HnAG3hNXZzxvzVyw1U8Yy,1HnAG3hNXZzxvzVyw1U8Yy,track,spotify:track:1HnAG3hNXZzxvzVyw1U8Yy
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5fJsY7afrbsyzJj9wdzJMh'}, 'href': 'https://api.spotify.com/v1/artists/5fJsY7afrbsyzJj9wdzJMh', 'id': '5fJsY7afrbsyzJj9wdzJMh', 'name': 'Tito ""El Bambino""', 'type': 'artist', 'uri': 'spotify:artist:5fJsY7afrbsyzJj9wdzJMh'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7qYeIN2r4H1kBvr0Gm9Iav'}, 'href': 'https://api.spotify.com/v1/artists/7qYeIN2r4H1kBvr0Gm9Iav', 'id': '7qYeIN2r4H1kBvr0Gm9Iav', 'name': 'Randy', 'type': 'artist', 'uri': 'spotify:artist:7qYeIN2r4H1kBvr0Gm9Iav'}]",2,188733,False,https://api.spotify.com/v1/tracks/2iHr1co9ElgzHredwMNKOy,2iHr1co9ElgzHredwMNKOy,False,True,Siente El Boom,67,,2,track,spotify:track:2iHr1co9ElgzHredwMNKOy,ALBUM,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2HOZmbv4saI1WELN907XSN'}, 'href': 'https://api.spotify.com/v1/artists/2HOZmbv4saI1WELN907XSN', 'id': '2HOZmbv4saI1WELN907XSN', 'name': 'The Chosen Few', 'type': 'artist', 'uri': 'spotify:artist:2HOZmbv4saI1WELN907XSN'}]",https://open.spotify.com/album/01i4xjoO8LfObh7LbIZy8z,https://api.spotify.com/v1/albums/01i4xjoO8LfObh7LbIZy8z,01i4xjoO8LfObh7LbIZy8z,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a17af5440337fb5694a13939', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02a17af5440337fb5694a13939', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851a17af5440337fb5694a13939', 'width': 64}]",True,El Documental II,2006-01-01,day,37,album,spotify:album:01i4xjoO8LfObh7LbIZy8z,USEL10700200,https://open.spotify.com/track/2iHr1co9ElgzHredwMNKOy,,,,,
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0vR2qb8m9WHeZ5ByCbimq2'}, 'href': 'https://api.spotify.com/v1/artists/0vR2qb8m9WHeZ5ByCbimq2', 'id': '0vR2qb8m9WHeZ5ByCbimq2', 'name': 'Reik', 'type': 'artist', 'uri': 'spotify:artist:0vR2qb8m9WHeZ5ByCbimq2'}]",1,215773,False,https://api.spotify.com/v1/tracks/5saQ13jGnI9vZzZ1nQFKrn,5saQ13jGnI9vZzZ1nQFKrn,False,True,Invierno,62,https://p.scdn.co/mp3-preview/5dc2ba37dc4614fc5c5836a54debc59733cad19e?cid=bf0a7a4e7fba44c3844ebceae6d06eed,6,track,spotify:track:5saQ13jGnI9vZzZ1nQFKrn,ALBUM,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0vR2qb8m9WHeZ5ByCbimq2'}, 'href': 'https://api.spotify.com/v1/artists/0vR2qb8m9WHeZ5ByCbimq2', 'id': '0vR2qb8m9WHeZ5ByCbimq2', 'name': 'Reik', 'type': 'artist', 'uri': 'spotify:artist:0vR2qb8m9WHeZ5ByCbimq2'}]",https://open.spotify.com/album/4kMpYWQfF4f4iXLhopgk3w,https://api.spotify.com/v1/albums/4kMpYWQfF4f4iXLhopgk3w,4kMpYWQfF4f4iXLhopgk3w,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273bdc144323f2959e8df21d250', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02bdc144323f2959e8df21d250', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851bdc144323f2959e8df21d250', 'width': 64}]",True,Secuencia,2006-11-14,day,11,album,spotify:album:4kMpYWQfF4f4iXLhopgk3w,MXF010600589,https://open.spotify.com/track/5saQ13jGnI9vZzZ1nQFKrn,,,,,
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4wLXwxDeWQ8mtUIRPxGiD6'}, 'href': 'https://api.spotify.com/v1/artists/4wLXwxDeWQ8mtUIRPxGiD6', 'id': '4wLXwxDeWQ8mtUIRPxGiD6', 'name': 'Marc Anthony', 'type': 'artist', 'uri': 'spotify:artist:4wLXwxDeWQ8mtUIRPxGiD6'}]",1,283906,False,https://api.spotify.com/v1/tracks/4NDYHL1NRsCKRllU8vk4cM,4NDYHL1NRsCKRllU8vk4cM,False,True,Celos,45,https://p.scdn.co/mp3-preview/2aa8bcd45b6aae74fbfafe8721e6983b507c02ab?cid=bf0a7a4e7fba44c3844ebceae6d06eed,1,track,spotify:track:4NDYHL1NRsCKRllU8vk4cM,ALBUM,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4wLXwxDeWQ8mtUIRPxGiD6'}, 'href': 'https://api.spotify.com/v1/artists/4wLXwxDeWQ8mtUIRPxGiD6', 'id': '4wLXwxDeWQ8mtUIRPxGiD6', 'name': 'Marc Anthony', 'type': 'artist', 'uri': 'spotify:artist:4wLXwxDeWQ8mtUIRPxGiD6'}]",https://open.spotify.com/album/4Nyp7QrPLKUKeck9MIkO1q,https://api.spotify.com/v1/albums/4Nyp7QrPLKUKeck9MIkO1q,4Nyp7QrPLKUKeck9MIkO1q,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27349646a0e53086cad68a5767d', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0249646a0e53086cad68a5767d', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485149646a0e53086cad68a5767d', 'width': 64}]",True,Dos Clásicos,2001,year,19,album,spotify:album:4Nyp7QrPLKUKeck9MIkO1q,NLB630100418,https://open.spotify.com/track/4NDYHL1NRsCKRllU8vk4cM,,,,,
